Customer ID,Customer_Age,Branch,Customer type,Gender,Customer Job,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,gross income,Rating
636-48-8204,55,A,Normal,Male,Businessman,Electronic accessories,34.56,5,9,181,03-01-2024,11:15,Ewallet,8.64,9.9
549-59-1358,38,A,Member,Male,Blue-collar,Sports and travel,88.63,3,13,279,03-01-2024,17:36,Ewallet,13.2945,6
227-03-5010,40,A,Member,Female,White-collar,Home and lifestyle,52.59,8,21,442,03-01-2024,19:20,Credit card,21.036,8.5
649-29-6775,55,B,Normal,Male,Blue-collar,Fashion accessories,33.52,1,2,35,03-01-2024,15:31,Cash,1.676,6.7
189-17-4241,33,A,Normal,Female,Govt,Fashion accessories,87.67,2,9,184,03-01-2024,12:17,Credit card,8.767,7.7
145-94-9061,54,B,Normal,Female,Blue-collar,Food and beverages,88.36,5,22,464,03-01-2024,19:48,Cash,22.09,9.6
848-62-7243,46,A,Normal,Male,Businessman,Health and beauty,24.89,9,11,235,03-01-2024,15:36,Cash,11.2005,7.4
871-79-8483,44,B,Normal,Male,Govt,Fashion accessories,94.13,5,24,494,04-01-2024,19:39,Credit card,23.5325,4.8
149-71-6266,40,B,Member,Male,Selfemployeed,Sports and travel,78.07,9,35,738,04-01-2024,12:43,Cash,35.1315,4.5
640-49-2076,44,B,Normal,Male,Selfemployeed,Sports and travel,83.78,8,34,704,04-01-2024,14:49,Cash,33.512,5.1
595-11-5460,51,A,Normal,Male,Businessman,Health and beauty,96.58,2,10,203,04-01-2024,10:12,Credit card,9.658,5.1
183-56-6882,60,C,Member,Female,Selfemployeed,Food and beverages,99.42,4,20,418,04-01-2024,10:42,Ewallet,19.884,7.5
232-16-2483,49,C,Member,Female,Selfemployeed,Sports and travel,68.12,1,3,72,04-01-2024,12:28,Ewallet,3.406,6.8
129-29-8530,43,A,Member,Male,White-collar,Sports and travel,62.62,5,16,329,04-01-2024,19:15,Ewallet,15.655,7
272-65-1806,54,A,Normal,Female,Selfemployeed,Electronic accessories,60.88,9,27,575,04-01-2024,17:17,Ewallet,27.396,4.7
333-73-7901,32,C,Normal,Female,Businessman,Health and beauty,54.92,8,22,461,04-01-2024,13:24,Ewallet,21.968,7.6
777-82-7220,52,B,Member,Male,Retirees,Home and lifestyle,30.12,8,12,253,04-01-2024,13:01,Cash,12.048,7.7
280-35-5823,43,B,Member,Female,White-collar,Home and lifestyle,86.72,1,4,91,04-01-2024,18:45,Ewallet,4.336,7.9
554-53-8700,49,C,Member,Male,Govt,Home and lifestyle,56.11,2,6,118,04-01-2024,10:11,Cash,5.611,6.3
354-25-5821,49,B,Member,Female,Selfemployeed,Sports and travel,69.12,6,21,435,04-01-2024,13:03,Cash,20.736,5.6
228-96-1411,42,C,Member,Female,Blue-collar,Food and beverages,98.7,8,39,829,05-01-2024,20:39,Cash,39.48,7.6
617-15-4209,48,C,Member,Male,Selfemployeed,Health and beauty,15.37,2,2,32,05-01-2024,19:47,Cash,1.537,7.2
132-32-9879,47,B,Member,Female,Blue-collar,Electronic accessories,93.96,4,19,395,05-01-2024,18:00,Cash,18.792,9.5
370-41-7321,47,B,Member,Male,Govt,Health and beauty,56.69,9,26,536,05-01-2024,17:24,Credit card,25.5105,8.4
727-46-3608,47,B,Member,Female,Selfemployeed,Food and beverages,20.01,9,9,189,05-01-2024,15:47,Ewallet,9.0045,4.1
669-54-1719,53,B,Member,Male,Selfemployeed,Electronic accessories,18.93,6,6,119,05-01-2024,12:45,Credit card,5.679,8.1
574-22-5561,47,C,Member,Female,Govt,Fashion accessories,82.63,10,41,868,05-01-2024,17:08,Ewallet,41.315,7.9
326-78-5178,42,C,Member,Male,Selfemployeed,Food and beverages,91.4,7,32,672,05-01-2024,10:19,Cash,31.99,9.5
162-48-8011,53,A,Member,Female,Blue-collar,Food and beverages,44.59,5,11,234,06-01-2024,15:10,Cash,11.1475,8.5
616-24-2851,54,B,Member,Female,Blue-collar,Fashion accessories,17.87,4,4,75,06-01-2024,14:42,Ewallet,3.574,6.5
778-71-5554,48,C,Member,Male,Blue-collar,Fashion accessories,15.43,1,1,16,06-01-2024,15:46,Credit card,0.7715,6.1
242-55-6721,42,B,Normal,Male,Retirees,Home and lifestyle,16.16,2,2,34,06-01-2024,11:49,Ewallet,1.616,6.5
399-46-5918,44,C,Normal,Female,Retirees,Electronic accessories,85.98,8,34,722,06-01-2024,19:01,Cash,34.392,8.2
106-35-6779,40,A,Member,Male,Businessman,Home and lifestyle,44.34,2,4,93,06-01-2024,11:26,Cash,4.434,5.8
635-40-6220,58,A,Normal,Male,Selfemployeed,Health and beauty,89.6,8,36,753,06-01-2024,11:28,Ewallet,35.84,6.6
817-48-8732,57,A,Member,Female,Blue-collar,Home and lifestyle,72.35,10,36,760,07-01-2024,15:55,Cash,36.175,5.4
120-06-4233,38,C,Normal,Male,White-collar,Electronic accessories,30.61,6,9,193,07-01-2024,20:36,Cash,9.183,9.3
285-68-5083,53,C,Member,Female,Retirees,Sports and travel,24.74,3,4,78,07-01-2024,17:47,Credit card,3.711,10
803-83-5989,60,C,Normal,Male,Businessman,Home and lifestyle,55.73,6,17,351,07-01-2024,10:55,Ewallet,16.719,7
347-34-2234,51,B,Member,Female,Selfemployeed,Sports and travel,55.07,9,25,520,07-01-2024,13:40,Ewallet,24.7815,10
199-75-8169,39,A,Member,Male,Selfemployeed,Sports and travel,15.81,10,8,166,07-01-2024,12:27,Credit card,7.905,8.6
853-23-2453,38,B,Member,Male,Businessman,Health and beauty,75.74,4,15,318,07-01-2024,14:35,Cash,15.148,7.6
877-22-3308,50,A,Member,Male,Businessman,Health and beauty,15.87,10,8,167,08-01-2024,16:40,Cash,7.935,5.8
838-78-4295,37,C,Normal,Female,Retirees,Health and beauty,33.47,2,3,70,08-01-2024,15:43,Ewallet,3.347,6.7
109-28-2512,39,B,Member,Female,Selfemployeed,Fashion accessories,97.61,6,29,615,08-01-2024,15:01,Ewallet,29.283,9.9
232-11-3025,62,A,Normal,Male,Blue-collar,Sports and travel,78.77,10,39,827,08-01-2024,10:04,Cash,39.385,6.4
382-03-4532,38,A,Member,Female,Selfemployeed,Health and beauty,18.33,1,1,19,08-01-2024,18:50,Cash,0.9165,4.3
393-65-2792,38,C,Normal,Male,Govt,Food and beverages,89.48,10,45,940,08-01-2024,12:46,Credit card,44.74,9.6
796-12-2025,44,C,Normal,Male,Retirees,Fashion accessories,62.12,10,31,652,08-01-2024,16:19,Cash,31.06,5.9
510-95-6347,60,B,Member,Female,White-collar,Food and beverages,48.52,3,7,153,08-01-2024,18:17,Ewallet,7.278,4
841-35-6630,26,C,Normal,Female,Businessman,Electronic accessories,75.91,6,23,478,08-01-2024,18:21,Cash,22.773,8.7
287-21-9091,41,A,Normal,Male,Businessman,Home and lifestyle,74.67,9,34,706,09-01-2024,10:55,Ewallet,33.6015,9.4
732-94-0499,61,C,Normal,Female,Selfemployeed,Electronic accessories,41.65,10,21,437,09-01-2024,17:04,Credit card,20.825,5.4
263-10-3913,39,C,Member,Male,Selfemployeed,Fashion accessories,49.04,9,22,463,09-01-2024,14:20,Credit card,22.068,8.6
381-20-0914,50,A,Member,Female,Govt,Fashion accessories,20.01,9,9,189,09-01-2024,15:48,Credit card,9.0045,5.7
829-49-1914,45,C,Member,Female,Blue-collar,Food and beverages,78.31,10,39,822,09-01-2024,16:24,Ewallet,39.155,6.6
756-01-7507,56,C,Normal,Female,Blue-collar,Health and beauty,20.38,5,5,107,09-01-2024,18:56,Cash,5.095,6
870-72-4431,47,C,Normal,Female,White-collar,Health and beauty,99.19,6,30,625,09-01-2024,14:42,Credit card,29.757,5.5
847-38-7188,48,B,Normal,Female,Selfemployeed,Food and beverages,96.68,3,15,305,09-01-2024,19:56,Ewallet,14.502,6.4
480-63-2856,37,C,Normal,Male,Selfemployeed,Food and beverages,19.25,8,8,162,09-01-2024,18:37,Ewallet,7.7,6.6
787-56-0757,33,C,Member,Female,White-collar,Food and beverages,80.36,4,16,338,09-01-2024,18:45,Credit card,16.072,8.3
360-39-5055,41,C,Member,Male,Govt,Sports and travel,48.91,5,12,257,09-01-2024,10:17,Cash,12.2275,6.6
730-50-9884,48,C,Normal,Female,White-collar,Sports and travel,83.06,7,29,610,09-01-2024,14:31,Ewallet,29.071,4
362-58-8315,41,C,Normal,Male,White-collar,Fashion accessories,76.52,5,19,402,09-01-2024,10:23,Cash,19.13,9.9
633-44-8566,39,A,Member,Male,Selfemployeed,Food and beverages,49.38,7,17,363,09-01-2024,20:35,Credit card,17.283,7.3
504-35-8843,54,A,Normal,Male,Businessman,Sports and travel,42.47,1,2,45,09-01-2024,16:57,Cash,2.1235,5.7
318-68-5053,40,B,Normal,Female,White-collar,Health and beauty,76.99,6,23,485,10-01-2024,17:55,Cash,23.097,6.1
565-80-5980,44,C,Member,Female,White-collar,Home and lifestyle,47.38,4,9,199,10-01-2024,10:25,Cash,9.476,7.1
225-32-0908,38,C,Normal,Female,Selfemployeed,Sports and travel,44.86,10,22,471,10-01-2024,19:54,Ewallet,22.43,8.2
873-51-0671,29,A,Member,Female,White-collar,Sports and travel,21.98,7,8,162,10-01-2024,16:42,Ewallet,7.693,5.1
152-08-9985,63,B,Member,Male,Businessman,Health and beauty,64.36,9,29,608,10-01-2024,12:09,Credit card,28.962,8.6
512-91-0811,54,C,Normal,Male,Govt,Health and beauty,89.75,1,4,94,10-01-2024,20:05,Credit card,4.4875,6.6
594-34-4444,41,A,Normal,Male,Blue-collar,Electronic accessories,97.16,1,5,102,10-01-2024,20:38,Ewallet,4.858,7.2
766-85-7061,55,B,Normal,Male,Selfemployeed,Health and beauty,87.87,10,44,923,10-01-2024,10:25,Ewallet,43.935,5.1
871-39-9221,31,C,Normal,Female,Blue-collar,Electronic accessories,12.45,6,4,78,10-01-2024,13:11,Cash,3.735,4.1
865-92-6136,44,A,Normal,Male,Selfemployeed,Food and beverages,52.75,3,8,166,10-01-2024,10:16,Ewallet,7.9125,9.3
733-01-9107,46,B,Normal,Male,Govt,Home and lifestyle,82.7,6,25,521,10-01-2024,18:14,Cash,24.81,7.4
163-56-7055,40,C,Member,Male,Govt,Fashion accessories,48.71,1,2,51,10-01-2024,19:20,Cash,2.4355,4.1
189-98-2939,36,C,Normal,Male,Govt,Fashion accessories,78.55,9,35,742,10-01-2024,13:22,Cash,35.3475,7.2
551-21-3069,37,C,Normal,Female,Blue-collar,Electronic accessories,23.07,9,10,218,10-01-2024,11:27,Cash,10.3815,4.9
212-62-1842,59,A,Normal,Male,Selfemployeed,Food and beverages,58.26,6,17,367,10-01-2024,16:44,Cash,17.478,9.9
716-39-1409,49,B,Normal,Male,Selfemployeed,Health and beauty,30.35,7,11,223,11-01-2024,18:19,Cash,10.6225,8
704-48-3927,43,A,Member,Male,Govt,Electronic accessories,88.67,10,44,931,11-01-2024,14:50,Ewallet,44.335,7.3
628-34-3388,56,C,Normal,Male,Businessman,Fashion accessories,27.38,6,8,172,11-01-2024,20:54,Credit card,8.214,7.9
630-74-5166,45,A,Normal,Male,Selfemployeed,Sports and travel,62.13,6,19,391,11-01-2024,20:19,Cash,18.639,7.4
588-01-7461,63,C,Normal,Female,Selfemployeed,Food and beverages,33.98,9,15,321,11-01-2024,10:43,Cash,15.291,4.2
861-77-0145,51,C,Member,Male,Businessman,Electronic accessories,81.97,10,41,861,11-01-2024,14:30,Cash,40.985,9.2
479-26-8945,42,B,Member,Female,Businessman,Sports and travel,16.49,2,2,35,11-01-2024,11:32,Ewallet,1.649,4.6
210-67-5886,49,C,Member,Female,White-collar,Health and beauty,98.21,3,15,309,11-01-2024,10:41,Credit card,14.7315,7.8
227-78-1148,51,B,Normal,Female,Selfemployeed,Fashion accessories,72.84,7,25,535,11-01-2024,12:44,Cash,25.494,8.4
645-44-1170,27,A,Member,Male,Blue-collar,Home and lifestyle,58.07,9,26,549,11-01-2024,20:07,Ewallet,26.1315,4.3
237-01-6122,42,C,Member,Female,Businessman,Home and lifestyle,80.79,9,36,763,11-01-2024,20:31,Credit card,36.3555,9.5
225-98-1496,53,C,Normal,Female,Blue-collar,Fashion accessories,27.02,3,4,85,11-01-2024,13:01,Credit card,4.053,7.1
291-32-1427,48,B,Member,Male,Selfemployeed,Fashion accessories,21.94,5,5,115,11-01-2024,12:29,Ewallet,5.485,5.3
659-65-8956,44,B,Member,Male,Blue-collar,Fashion accessories,51.36,1,3,54,11-01-2024,15:26,Ewallet,2.568,5.2
642-32-2990,39,A,Normal,Female,Businessman,Food and beverages,10.96,10,5,115,12-01-2024,20:48,Ewallet,5.48,6
378-24-2715,41,B,Normal,Male,Govt,Home and lifestyle,53.44,2,5,112,12-01-2024,20:38,Ewallet,5.344,4.1
638-60-7125,46,A,Normal,Female,Businessman,Electronic accessories,99.56,8,40,836,12-01-2024,17:03,Credit card,39.824,5.2
659-36-1684,38,C,Member,Male,Selfemployeed,Sports and travel,57.12,7,20,420,12-01-2024,12:02,Credit card,19.992,6.5
219-22-9386,56,B,Member,Male,Govt,Sports and travel,99.96,9,45,945,12-01-2024,17:26,Credit card,44.982,4.2
336-78-2147,40,C,Member,Male,White-collar,Home and lifestyle,63.91,8,26,537,12-01-2024,19:52,Credit card,25.564,4.6
268-27-6179,55,B,Member,Female,Blue-collar,Fashion accessories,56.47,8,23,474,12-01-2024,14:57,Ewallet,22.588,7.3
668-90-8900,42,A,Normal,Female,Govt,Home and lifestyle,93.69,7,33,689,12-01-2024,18:44,Credit card,32.7915,4.5
870-54-3162,47,A,Normal,Female,Blue-collar,Sports and travel,32.25,5,8,169,13-01-2024,13:26,Cash,8.0625,9
189-08-9157,50,C,Normal,Female,Blue-collar,Fashion accessories,31.73,9,14,300,13-01-2024,16:17,Credit card,14.2785,5.9
663-86-9076,41,C,Member,Female,Govt,Food and beverages,68.54,8,27,576,13-01-2024,15:57,Ewallet,27.416,8.5
549-84-7482,45,B,Normal,Female,Govt,Sports and travel,90.28,9,41,853,13-01-2024,11:15,Ewallet,40.626,7.2
191-10-6171,43,B,Normal,Female,White-collar,Fashion accessories,39.62,7,14,291,13-01-2024,13:18,Cash,13.867,7.5
802-70-5316,42,A,Member,Female,Selfemployeed,Sports and travel,92.13,6,28,580,13-01-2024,20:34,Cash,27.639,8.3
695-51-0018,35,B,Normal,Female,Blue-collar,Sports and travel,34.84,4,7,146,13-01-2024,18:36,Cash,6.968,7.4
590-83-4591,45,B,Member,Male,Govt,Electronic accessories,87.45,6,26,551,13-01-2024,14:40,Credit card,26.235,8.8
483-71-1164,54,C,Normal,Female,Blue-collar,Health and beauty,81.3,6,24,512,13-01-2024,16:43,Ewallet,24.39,5.3
597-78-7908,42,C,Normal,Male,Businessman,Fashion accessories,90.22,3,14,284,13-01-2024,19:39,Cash,13.533,6.2
700-81-1757,37,A,Normal,Female,Retirees,Electronic accessories,26.31,5,7,138,13-01-2024,20:59,Credit card,6.5775,8.8
354-39-5160,49,A,Member,Female,Retirees,Home and lifestyle,34.42,6,10,217,13-01-2024,15:39,Cash,10.326,9.8
241-72-9525,36,B,Normal,Male,Selfemployeed,Sports and travel,51.91,10,26,545,13-01-2024,12:21,Cash,25.955,8.2
575-30-8091,55,A,Normal,Male,White-collar,Sports and travel,72.5,8,29,609,13-01-2024,19:25,Ewallet,29,9.2
731-81-9469,44,C,Member,Female,White-collar,Sports and travel,89.8,10,45,943,14-01-2024,13:00,Credit card,44.9,5.4
280-17-4359,45,C,Member,Male,Govt,Health and beauty,90.5,10,45,950,14-01-2024,13:48,Cash,45.25,8.1
338-65-2210,41,C,Member,Female,White-collar,Health and beauty,68.6,10,34,720,14-01-2024,19:57,Cash,34.3,9.1
488-25-4221,45,C,Member,Female,Govt,Food and beverages,30.41,1,2,32,14-01-2024,10:36,Credit card,1.5205,8.4
239-10-7476,57,A,Normal,Female,Retirees,Home and lifestyle,77.95,6,23,491,14-01-2024,16:37,Ewallet,23.385,8
458-41-1477,48,C,Normal,Female,Blue-collar,Health and beauty,46.26,6,14,291,14-01-2024,17:11,Credit card,13.878,9.5
685-64-1609,49,A,Member,Female,Blue-collar,Fashion accessories,30.14,10,15,316,14-01-2024,12:28,Ewallet,15.07,9.2
568-90-5112,57,C,Normal,Male,White-collar,Health and beauty,66.14,4,13,278,14-01-2024,12:46,Credit card,13.228,5.6
262-47-2794,62,B,Member,Male,Blue-collar,Home and lifestyle,71.86,8,29,604,14-01-2024,15:07,Credit card,28.744,6.2
238-49-0436,45,A,Normal,Male,Blue-collar,Health and beauty,32.46,8,13,273,15-01-2024,13:48,Credit card,12.984,4.9
608-96-3517,53,B,Member,Female,Blue-collar,Fashion accessories,91.54,4,18,384,15-01-2024,19:20,Credit card,18.308,4.8
584-86-7256,44,C,Member,Male,Selfemployeed,Sports and travel,34.56,7,12,254,15-01-2024,16:07,Credit card,12.096,7.3
746-94-0204,54,A,Normal,Male,Businessman,Fashion accessories,83.24,9,37,787,15-01-2024,11:56,Credit card,37.458,7.4
214-17-6927,48,C,Normal,Female,Businessman,Food and beverages,16.48,6,5,104,15-01-2024,18:23,Ewallet,4.944,9.9
400-89-4171,60,C,Normal,Female,Blue-collar,Sports and travel,80.97,8,32,680,16-01-2024,13:05,Cash,32.388,9.3
782-95-9291,33,A,Member,Male,White-collar,Food and beverages,92.29,5,23,485,16-01-2024,15:55,Credit card,23.0725,9
279-74-2924,57,B,Member,Male,Blue-collar,Electronic accessories,72.17,1,4,76,16-01-2024,19:40,Cash,3.6085,6.1
307-85-2293,41,B,Normal,Male,Govt,Home and lifestyle,50.28,5,13,264,16-01-2024,13:58,Ewallet,12.57,9.7
743-04-1105,62,B,Member,Male,Blue-collar,Health and beauty,97.22,9,44,919,16-01-2024,14:43,Ewallet,43.749,6
423-57-2993,52,B,Normal,Male,Selfemployeed,Sports and travel,93.39,6,28,588,17-01-2024,19:18,Ewallet,28.017,10
894-41-5205,41,C,Normal,Female,Businessman,Food and beverages,43.18,8,17,363,17-01-2024,19:39,Credit card,17.272,8.3
275-28-0149,42,A,Normal,Male,Blue-collar,Sports and travel,63.69,1,3,67,17-01-2024,16:21,Cash,3.1845,6
101-17-6199,44,A,Normal,Male,Blue-collar,Food and beverages,45.79,7,16,337,17-01-2024,19:44,Credit card,16.0265,7
423-80-0988,51,C,Normal,Male,Businessman,Sports and travel,76.4,2,8,160,17-01-2024,19:42,Ewallet,7.64,6.5
548-46-9322,40,B,Normal,Male,Businessman,Food and beverages,39.9,10,20,419,17-01-2024,15:24,Credit card,19.95,5.9
505-02-0892,38,B,Member,Male,Retirees,Health and beauty,42.57,8,17,358,17-01-2024,14:12,Ewallet,17.028,5.6
234-65-2137,26,C,Normal,Male,Businessman,Home and lifestyle,95.58,10,48,1004,17-01-2024,13:32,Cash,47.79,4.8
687-47-8271,42,A,Normal,Male,Selfemployeed,Fashion accessories,98.98,10,49,1039,17-01-2024,16:20,Credit card,49.49,8.7
796-32-9050,33,A,Normal,Male,Selfemployeed,Food and beverages,51.28,6,15,323,18-01-2024,16:31,Cash,15.384,6.5
105-31-1824,45,A,Member,Male,Businessman,Sports and travel,69.52,7,24,511,18-01-2024,15:10,Credit card,24.332,8.5
249-42-3782,54,A,Normal,Male,Selfemployeed,Health and beauty,70.01,5,18,368,18-01-2024,11:36,Ewallet,17.5025,5.5
316-55-4634,57,B,Member,Male,White-collar,Food and beverages,80.05,5,20,420,18-01-2024,12:45,Credit card,20.0125,9.4
733-33-4967,47,C,Normal,Male,Govt,Electronic accessories,20.85,8,8,175,18-01-2024,19:17,Cash,8.34,6.3
608-27-6295,44,B,Member,Male,Blue-collar,Electronic accessories,52.89,6,16,333,18-01-2024,17:34,Credit card,15.867,9.8
414-12-7047,50,B,Normal,Male,Selfemployeed,Food and beverages,19.79,8,8,166,18-01-2024,12:04,Ewallet,7.916,8.7
827-26-2100,55,A,Member,Male,White-collar,Home and lifestyle,33.84,9,15,320,18-01-2024,16:21,Ewallet,15.228,8.8
175-54-2529,45,A,Member,Male,Govt,Food and beverages,22.17,8,9,186,18-01-2024,17:01,Credit card,8.868,9.6
139-52-2867,65,C,Normal,Female,Businessman,Fashion accessories,22.51,7,8,165,18-01-2024,10:50,Credit card,7.8785,4.8
407-63-8975,51,A,Normal,Male,Blue-collar,Food and beverages,73.88,6,22,465,18-01-2024,19:16,Ewallet,22.164,4.4
342-65-4817,39,C,Member,Male,Retirees,Health and beauty,86.8,3,13,273,18-01-2024,16:47,Ewallet,13.02,9.9
130-98-8941,59,C,Normal,Male,Businessman,Fashion accessories,64.26,7,22,472,19-01-2024,10:00,Cash,22.491,5.7
434-83-9547,45,C,Member,Male,Retirees,Food and beverages,38.47,8,15,323,19-01-2024,11:51,Cash,15.388,7.7
851-28-6367,56,A,Member,Male,Businessman,Sports and travel,15.5,10,8,163,19-01-2024,10:55,Ewallet,7.75,8
824-88-3614,46,C,Normal,Male,Selfemployeed,Health and beauty,34.31,8,14,288,19-01-2024,15:00,Ewallet,13.724,5.7
586-25-0848,56,A,Normal,Female,Selfemployeed,Sports and travel,12.34,7,4,91,19-01-2024,11:19,Credit card,4.319,6.7
895-66-0685,48,B,Member,Male,Govt,Food and beverages,18.08,3,3,57,19-01-2024,19:46,Ewallet,2.712,8
305-14-0245,33,B,Member,Female,White-collar,Home and lifestyle,94.49,8,38,794,19-01-2024,19:00,Ewallet,37.796,7.5
732-04-5373,45,B,Member,Male,Businessman,Home and lifestyle,46.47,4,9,195,19-01-2024,10:53,Cash,9.294,7
400-60-7251,43,A,Normal,Male,Businessman,Home and lifestyle,74.07,1,4,78,19-01-2024,12:50,Ewallet,3.7035,9.9
593-65-1552,40,C,Normal,Female,Blue-collar,Home and lifestyle,69.81,4,14,293,19-01-2024,20:50,Credit card,13.962,5.9
284-34-9626,35,B,Normal,Female,Blue-collar,Home and lifestyle,77.04,3,12,243,19-01-2024,10:39,Credit card,11.556,7.2
437-58-8131,48,B,Normal,Female,Retirees,Fashion accessories,73.52,2,7,154,19-01-2024,13:41,Ewallet,7.352,4.6
286-43-6208,47,C,Normal,Female,Selfemployeed,Food and beverages,87.8,9,40,830,20-01-2024,19:08,Cash,39.51,9.2
641-43-2399,52,B,Normal,Male,Blue-collar,Home and lifestyle,25.55,4,5,107,20-01-2024,20:23,Ewallet,5.11,5.7
831-07-6050,55,A,Normal,Male,Selfemployeed,Electronic accessories,32.71,5,8,172,20-01-2024,11:30,Credit card,8.1775,9.9
556-86-3144,34,C,Member,Female,Businessman,Fashion accessories,74.29,1,4,78,20-01-2024,19:30,Cash,3.7145,5
848-24-9445,55,C,Member,Male,Retirees,Health and beauty,43.7,2,4,92,20-01-2024,18:03,Cash,4.37,4.9
856-22-8149,48,A,Normal,Female,Selfemployeed,Home and lifestyle,25.29,1,1,27,20-01-2024,10:13,Ewallet,1.2645,6.1
699-01-4164,40,C,Normal,Male,White-collar,Health and beauty,41.5,4,8,174,20-01-2024,19:58,Credit card,8.3,8.2
420-11-4919,55,C,Member,Female,Businessman,Food and beverages,71.39,5,18,375,20-01-2024,19:57,Credit card,17.8475,5.5
606-80-4905,45,C,Member,Female,Blue-collar,Sports and travel,19.15,6,6,121,20-01-2024,10:01,Credit card,5.745,6.8
542-41-0513,42,B,Member,Female,Businessman,Electronic accessories,57.49,4,11,241,20-01-2024,11:57,Cash,11.498,6.6
426-39-2418,47,C,Normal,Male,Businessman,Electronic accessories,61.41,7,21,451,20-01-2024,10:02,Cash,21.4935,9.8
875-46-5808,36,B,Member,Male,Govt,Health and beauty,25.9,10,13,272,20-01-2024,14:51,Ewallet,12.95,8.7
394-43-4238,34,B,Member,Male,Blue-collar,Home and lifestyle,17.77,5,4,93,21-01-2024,12:42,Credit card,4.4425,5.4
749-24-1565,44,A,Normal,Female,Govt,Health and beauty,23.03,9,10,218,21-01-2024,12:02,Ewallet,10.3635,7.9
672-51-8681,40,C,Member,Female,Blue-collar,Electronic accessories,66.65,9,30,630,21-01-2024,18:19,Credit card,29.9925,9.7
263-87-5680,58,C,Member,Female,White-collar,Home and lifestyle,28.53,10,14,300,21-01-2024,17:38,Ewallet,14.265,7.8
573-58-9734,33,B,Normal,Female,Govt,Fashion accessories,30.37,3,5,96,21-01-2024,13:41,Ewallet,4.5555,5.1
817-69-8206,36,B,Normal,Female,Retirees,Electronic accessories,99.73,9,45,942,21-01-2024,19:42,Credit card,44.8785,6.5
888-02-0338,50,A,Normal,Male,Govt,Electronic accessories,26.23,9,12,248,21-01-2024,20:24,Ewallet,11.8035,5.9
677-11-0152,51,C,Normal,Female,Selfemployeed,Food and beverages,93.26,9,42,881,21-01-2024,18:08,Cash,41.967,8.8
